gene_id	FPKM
ENSMUSG00000000001	27.80
ENSMUSG00000000003	0.00
ENSMUSG00000000028	0.40
ENSMUSG00000000031	0.00
ENSMUSG00000000037	0.00
ENSMUSG00000000049	1059.37
ENSMUSG00000000056	14.54
ENSMUSG00000000058	2.31
ENSMUSG00000000078	3.51
ENSMUSG00000000085	3.44
ENSMUSG00000000088	119.57
ENSMUSG00000000093	0.52
ENSMUSG00000000094	0.00
ENSMUSG00000000103	0.00
ENSMUSG00000000120	1.66
ENSMUSG00000000125	0.00
ENSMUSG00000000126	0.02
ENSMUSG00000000127	2.73
ENSMUSG00000000131	10.64
ENSMUSG00000000134	12.08
ENSMUSG00000000142	0.75
ENSMUSG00000000148	2.14
ENSMUSG00000000149	26.51
ENSMUSG00000000154	48.24
ENSMUSG00000000157	0.28
ENSMUSG00000000159	12.94
ENSMUSG00000000167	0.26
ENSMUSG00000000168	19.98
ENSMUSG00000000171	103.39
ENSMUSG00000000182	0.00
ENSMUSG00000000183	0.00
ENSMUSG00000000184	1.85
ENSMUSG00000000194	4.99
ENSMUSG00000000197	0.00
ENSMUSG00000000202	0.00
ENSMUSG00000000204	0.18
ENSMUSG00000000214	0.00
ENSMUSG00000000215	0.00
ENSMUSG00000000216	0.00
ENSMUSG00000000223	0.00
ENSMUSG00000000244	0.06
ENSMUSG00000000247	0.71
ENSMUSG00000000248	0.00
ENSMUSG00000000253	0.19
ENSMUSG00000000263	0.00
ENSMUSG00000000266	1.34
ENSMUSG00000000275	16.87
ENSMUSG00000000276	0.24
ENSMUSG00000000278	14.73
ENSMUSG00000000282	2.16
ENSMUSG00000000290	4.13
ENSMUSG00000000295	0.67
ENSMUSG00000000296	4.77
ENSMUSG00000000301	190.15
ENSMUSG00000000303	8.61
ENSMUSG00000000305	0.22
ENSMUSG00000000308	0.50
ENSMUSG00000000317	1.68
ENSMUSG00000000318	0.82
ENSMUSG00000000320	0.21
ENSMUSG00000000325	2.85
ENSMUSG00000000326	488.15
ENSMUSG00000000339	5.27
ENSMUSG00000000340	26.36
ENSMUSG00000000346	62.32
ENSMUSG00000000355	25.40
ENSMUSG00000000359	0.25
ENSMUSG00000000365	0.02
ENSMUSG00000000374	4.92
ENSMUSG00000000378	12.79
ENSMUSG00000000381	0.00
ENSMUSG00000000384	15.93
ENSMUSG00000000385	0.65
ENSMUSG00000000386	0.50
ENSMUSG00000000392	0.07
ENSMUSG00000000394	0.00
ENSMUSG00000000399	54.35
ENSMUSG00000000402	0.12
ENSMUSG00000000409	0.57
ENSMUSG00000000411	0.25
ENSMUSG00000000416	0.17
ENSMUSG00000000420	14.03
ENSMUSG00000000435	0.00
ENSMUSG00000000439	4.85
ENSMUSG00000000440	5.01
ENSMUSG00000000441	29.57
ENSMUSG00000000486	0.45
ENSMUSG00000000489	0.46
ENSMUSG00000000530	1.27
ENSMUSG00000000531	0.55
ENSMUSG00000000532	1.57
ENSMUSG00000000538	9.34
ENSMUSG00000000544	0.00
ENSMUSG00000000552	3.73
ENSMUSG00000000555	4.00
ENSMUSG00000000560	0.00
ENSMUSG00000000561	16.29
ENSMUSG00000000562	0.03
ENSMUSG00000000563	180.36
ENSMUSG00000000567	1.23
ENSMUSG00000000568	15.61
ENSMUSG00000000579	0.72
ENSMUSG00000000581	24.01
ENSMUSG00000000594	23.17
ENSMUSG00000000600	2.70
ENSMUSG00000000605	11.81
ENSMUSG00000000606	0.00
ENSMUSG00000000617	0.00
ENSMUSG00000000627	0.00
ENSMUSG00000000628	0.85
ENSMUSG00000000631	18.05
ENSMUSG00000000632	0.00
ENSMUSG00000000673	271.55
ENSMUSG00000000682	10.32
ENSMUSG00000000686	5.61
ENSMUSG00000000690	0.00
ENSMUSG00000000693	0.28
ENSMUSG00000000701	0.00
ENSMUSG00000000706	0.00
ENSMUSG00000000708	32.89
ENSMUSG00000000711	36.50
ENSMUSG00000000724	0.00
ENSMUSG00000000730	0.00
ENSMUSG00000000731	0.00
ENSMUSG00000000732	0.69
ENSMUSG00000000738	16.35
ENSMUSG00000000739	4.24
ENSMUSG00000000740	54.13
ENSMUSG00000000743	20.88
ENSMUSG00000000751	7.80
ENSMUSG00000000753	507.67
ENSMUSG00000000759	5.28
ENSMUSG00000000766	0.00
ENSMUSG00000000776	3.48
ENSMUSG00000000782	1.48
ENSMUSG00000000787	54.65
ENSMUSG00000000791	0.25
ENSMUSG00000000792	0.00
ENSMUSG00000000794	0.00
ENSMUSG00000000804	6.94
ENSMUSG00000000805	0.00
ENSMUSG00000000811	2.14
ENSMUSG00000000817	0.00
ENSMUSG00000000823	5.39
ENSMUSG00000000826	14.83
ENSMUSG00000000827	18.22
ENSMUSG00000000838	4.85
ENSMUSG00000000861	0.12
ENSMUSG00000000869	0.16
ENSMUSG00000000876	34.45
ENSMUSG00000000881	6.98
ENSMUSG00000000884	0.90
ENSMUSG00000000889	0.00
ENSMUSG00000000901	0.00
ENSMUSG00000000902	7.31
ENSMUSG00000000903	0.00
ENSMUSG00000000915	11.61
ENSMUSG00000000916	4.60
ENSMUSG00000000934	7.43
ENSMUSG00000000938	0.00
ENSMUSG00000000942	0.00
ENSMUSG00000000948	3.56
ENSMUSG00000000957	6.01
ENSMUSG00000000958	1.56
ENSMUSG00000000959	14.42
ENSMUSG00000000976	4.75
ENSMUSG00000000982	0.11
ENSMUSG00000000983	0.00
ENSMUSG00000001014	0.00
ENSMUSG00000001016	6.23
ENSMUSG00000001017	17.06
ENSMUSG00000001018	9.39
ENSMUSG00000001020	0.54
ENSMUSG00000001021	0.00
ENSMUSG00000001023	0.00
ENSMUSG00000001025	0.92
ENSMUSG00000001027	0.00
ENSMUSG00000001029	2.95
ENSMUSG00000001034	0.85
ENSMUSG00000001036	1.54
ENSMUSG00000001039	0.51
ENSMUSG00000001052	10.26
ENSMUSG00000001053	1.54
ENSMUSG00000001054	3.79
ENSMUSG00000001056	10.67
ENSMUSG00000001062	5.24
ENSMUSG00000001065	8.34
ENSMUSG00000001076	0.09
ENSMUSG00000001082	2.60
ENSMUSG00000001089	2.96
ENSMUSG00000001095	0.52
ENSMUSG00000001098	4.83
ENSMUSG00000001100	32.96
ENSMUSG00000001103	0.80
ENSMUSG00000001105	36.88
ENSMUSG00000001119	1.15
ENSMUSG00000001120	1.13
ENSMUSG00000001123	257.98
ENSMUSG00000001127	36.13
ENSMUSG00000001128	13.18
ENSMUSG00000001131	0.00
ENSMUSG00000001134	19.40
ENSMUSG00000001138	3.80
ENSMUSG00000001143	4.81
ENSMUSG00000001150	3.54
ENSMUSG00000001151	1.02
ENSMUSG00000001155	145.51
ENSMUSG00000001156	1.21
ENSMUSG00000001157	2.70
ENSMUSG00000001158	13.85
ENSMUSG00000001166	0.32
ENSMUSG00000001168	0.00
ENSMUSG00000001173	1.38
ENSMUSG00000001175	90.99
ENSMUSG00000001211	64.58
ENSMUSG00000001225	0.00
ENSMUSG00000001227	0.49
ENSMUSG00000001228	0.64
ENSMUSG00000001229	13.51
ENSMUSG00000001240	6.75
ENSMUSG00000001247	57.53
ENSMUSG00000001248	4.18
ENSMUSG00000001249	176.98
ENSMUSG00000001260	0.05
ENSMUSG00000001270	2.27
ENSMUSG00000001280	5.24
ENSMUSG00000001281	1.08
ENSMUSG00000001285	10.14
ENSMUSG00000001288	1.91
ENSMUSG00000001289	80.44
ENSMUSG00000001300	0.77
ENSMUSG00000001305	4.81
ENSMUSG00000001313	5.24
ENSMUSG00000001323	49.07
ENSMUSG00000001333	0.00
ENSMUSG00000001334	0.06
ENSMUSG00000001348	52.82
ENSMUSG00000001349	0.00
ENSMUSG00000001366	35.48
ENSMUSG00000001376	3.31
ENSMUSG00000001379	9.62
ENSMUSG00000001380	12.41
ENSMUSG00000001383	8.66
ENSMUSG00000001403	0.84
ENSMUSG00000001415	6.99
ENSMUSG00000001416	40.47
ENSMUSG00000001417	1.93
ENSMUSG00000001418	46.01
ENSMUSG00000001419	9.54
ENSMUSG00000001420	0.49
ENSMUSG00000001424	30.57
ENSMUSG00000001435	146.95
ENSMUSG00000001436	7.53
ENSMUSG00000001440	19.46
ENSMUSG00000001441	7.92
ENSMUSG00000001444	0.03
ENSMUSG00000001445	23.16
ENSMUSG00000001467	52.51
ENSMUSG00000001472	41.95
ENSMUSG00000001473	3.94
ENSMUSG00000001482	10.22
ENSMUSG00000001493	0.04
ENSMUSG00000001494	0.00
ENSMUSG00000001496	0.00
ENSMUSG00000001497	0.09
ENSMUSG00000001504	0.00
ENSMUSG00000001506	0.51
ENSMUSG00000001507	2.06
ENSMUSG00000001508	0.00
ENSMUSG00000001510	0.00
ENSMUSG00000001517	0.18
ENSMUSG00000001518	2.66
ENSMUSG00000001520	0.22
ENSMUSG00000001521	0.46
