gene_id	FPKM
ENSMUSG00000000001	31.41
ENSMUSG00000000003	0.00
ENSMUSG00000000028	0.47
ENSMUSG00000000031	0.09
ENSMUSG00000000037	0.05
ENSMUSG00000000049	1111.41
ENSMUSG00000000056	17.65
ENSMUSG00000000058	2.10
ENSMUSG00000000078	2.17
ENSMUSG00000000085	3.07
ENSMUSG00000000088	111.45
ENSMUSG00000000093	0.64
ENSMUSG00000000094	0.03
ENSMUSG00000000103	0.00
ENSMUSG00000000120	1.31
ENSMUSG00000000125	0.00
ENSMUSG00000000126	0.05
ENSMUSG00000000127	2.86
ENSMUSG00000000131	17.91
ENSMUSG00000000134	8.20
ENSMUSG00000000142	0.94
ENSMUSG00000000148	2.74
ENSMUSG00000000149	25.05
ENSMUSG00000000154	44.26
ENSMUSG00000000157	0.34
ENSMUSG00000000159	14.56
ENSMUSG00000000167	0.21
ENSMUSG00000000168	20.10
ENSMUSG00000000171	113.02
ENSMUSG00000000182	0.00
ENSMUSG00000000183	0.00
ENSMUSG00000000184	1.96
ENSMUSG00000000194	5.36
ENSMUSG00000000197	0.00
ENSMUSG00000000202	0.00
ENSMUSG00000000204	0.11
ENSMUSG00000000214	0.00
ENSMUSG00000000215	0.00
ENSMUSG00000000216	0.00
ENSMUSG00000000223	0.00
ENSMUSG00000000244	0.37
ENSMUSG00000000247	0.99
ENSMUSG00000000248	0.00
ENSMUSG00000000253	0.47
ENSMUSG00000000263	0.00
ENSMUSG00000000266	1.56
ENSMUSG00000000275	16.24
ENSMUSG00000000276	0.23
ENSMUSG00000000278	15.28
ENSMUSG00000000282	3.05
ENSMUSG00000000290	3.56
ENSMUSG00000000295	0.85
ENSMUSG00000000296	3.97
ENSMUSG00000000301	206.66
ENSMUSG00000000303	8.41
ENSMUSG00000000305	0.12
ENSMUSG00000000308	0.12
ENSMUSG00000000317	0.74
ENSMUSG00000000318	0.60
ENSMUSG00000000320	0.24
ENSMUSG00000000325	3.09
ENSMUSG00000000326	532.99
ENSMUSG00000000339	4.06
