	DOXY+_ARS+_shMETTL3_FUS-P525L_INP_REP2_S45
ENSG00000000003	4.958831609
ENSG00000000005	0
ENSG00000000419	30.51229751
ENSG00000000457	3.902907495
ENSG00000000460	5.563724626
ENSG00000000938	0.017230247
ENSG00000000971	0.401628849
ENSG00000001036	16.97383242
ENSG00000001084	4.611508219
ENSG00000001167	13.70042889
ENSG00000001460	1.150254109
ENSG00000001461	1.841952996
ENSG00000001497	10.87465032
ENSG00000001561	1.443014621
ENSG00000001617	4.998942319
ENSG00000001626	0
ENSG00000001629	17.11351301
ENSG00000001630	1.816377564
ENSG00000001631	1.615555045
ENSG00000002016	6.198672173
ENSG00000002079	0
ENSG00000002330	33.36691773
ENSG00000002549	13.45583493
ENSG00000002586	0.107956824
ENSG00000002587	0
ENSG00000002726	0.015238675
ENSG00000002745	0
ENSG00000002746	0
ENSG00000002822	0.120897707
ENSG00000002834	27.01951603
ENSG00000002919	13.46121873
ENSG00000002933	0.03351895
ENSG00000003056	32.62295632
ENSG00000003096	42.66766266
ENSG00000003137	0.03485904
ENSG00000003147	18.67638077
ENSG00000003249	17.53140221
ENSG00000003393	5.298025228
ENSG00000003400	0.368960473
ENSG00000003402	1.405035836
ENSG00000003436	0.00497462
ENSG00000003509	6.224692128
ENSG00000003756	5.103150927
ENSG00000003987	1.749526633
ENSG00000003989	39.1801863
ENSG00000004059	75.41923564
ENSG00000004139	7.928864637
ENSG00000004142	31.44979519
ENSG00000004399	21.6862031
ENSG00000004455	16.27397439
ENSG00000004468	0.033993113
ENSG00000004478	53.72419661
ENSG00000004487	35.4670758
ENSG00000004534	3.720383033
ENSG00000004660	1.505227687
ENSG00000004700	13.26131715
ENSG00000004766	3.85274015
ENSG00000004776	0.304207803
ENSG00000004777	4.22089291
ENSG00000004779	44.34446669
ENSG00000004799	0
ENSG00000004809	0.014914946
ENSG00000004838	0.463922457
ENSG00000004846	0
ENSG00000004848	0
ENSG00000004864	31.68086937
ENSG00000004866	14.31319824
ENSG00000004897	34.44783861
ENSG00000004939	0
ENSG00000004948	0
ENSG00000004961	19.44910256
ENSG00000004975	9.943921603
ENSG00000005001	0.048886489
ENSG00000005007	15.13734885
ENSG00000005020	0.510877943
ENSG00000005022	311.6745996
ENSG00000005059	0.524536212
ENSG00000005073	0
ENSG00000005075	24.81427666
ENSG00000005100	6.351713664
ENSG00000005102	0.021792332
ENSG00000005108	5.261136987
ENSG00000005156	14.36378338
ENSG00000005175	9.073113036
ENSG00000005187	0.054315428
ENSG00000005189	4.206852296
ENSG00000005194	52.81232106
ENSG00000005206	6.189362916
ENSG00000005238	4.155191373
ENSG00000005243	4.996586904
ENSG00000005249	16.98139064
ENSG00000005302	2.645508842
ENSG00000005339	9.897210062
ENSG00000005379	0.736787079
ENSG00000005381	0
ENSG00000005421	0
ENSG00000005436	7.873535104
ENSG00000005448	16.08015806
ENSG00000005469	4.178218926
ENSG00000005471	0.14328733
ENSG00000005483	23.1884208
ENSG00000005486	64.5388381
ENSG00000005513	0.104291176
ENSG00000005700	11.60909173
ENSG00000005801	4.433521564
ENSG00000005810	8.609501785
ENSG00000005812	7.69996744
ENSG00000005844	0.018178972
ENSG00000005882	11.21570967
ENSG00000005884	1.064151435
ENSG00000005889	8.021603662
ENSG00000005893	14.91518251
ENSG00000005961	0.573006305
ENSG00000005981	0.012651475
ENSG00000006007	27.63638964
ENSG00000006015	23.87970073
ENSG00000006016	0.196402746
ENSG00000006025	3.582192435
ENSG00000006042	0.572953043
ENSG00000006047	0.025166355
ENSG00000006059	0
ENSG00000006062	3.300200251
ENSG00000006071	0.129618323
ENSG00000006116	0
ENSG00000006118	21.59880517
ENSG00000006125	120.8135516
ENSG00000006128	0
ENSG00000006194	9.555884664
ENSG00000006210	9.523088037
ENSG00000006282	17.41520483
ENSG00000006283	0.312733603
ENSG00000006327	18.00525363
ENSG00000006377	5.700405845
ENSG00000006432	0.498700601
ENSG00000006451	30.77267201
ENSG00000006453	0.060436315
ENSG00000006459	4.19429185
ENSG00000006468	11.41817545
ENSG00000006530	8.247626426
ENSG00000006534	2.471268824
ENSG00000006555	0
ENSG00000006576	13.10899738
ENSG00000006606	0
ENSG00000006607	8.872079615
ENSG00000006611	0
ENSG00000006625	9.943646786
ENSG00000006634	10.53854393
ENSG00000006638	2.535387852
ENSG00000006652	15.26710242
ENSG00000006659	0
ENSG00000006695	4.959561796
ENSG00000006704	8.402818559
ENSG00000006712	21.5915669
ENSG00000006715	10.86975189
ENSG00000006740	0.156277341
ENSG00000006744	7.598253402
ENSG00000006747	0
ENSG00000006756	0.298579136
ENSG00000006757	0
ENSG00000006788	0.009521682
ENSG00000006831	26.60296921
ENSG00000006837	0.629174856
ENSG00000007001	0
ENSG00000007038	0
ENSG00000007047	19.76859146
ENSG00000007062	0.047032038
ENSG00000007080	61.04424377
ENSG00000007129	0.795833464
ENSG00000007168	21.13528448
ENSG00000007171	0.066234025
ENSG00000007174	0.006879487
ENSG00000007202	15.72327585
ENSG00000007216	0
ENSG00000007237	0
ENSG00000007255	17.86279818
ENSG00000007264	0
ENSG00000007306	0
ENSG00000007312	0.364204342
ENSG00000007314	0.629172611
ENSG00000007341	5.850268074
ENSG00000007350	0
ENSG00000007372	0.011293705
ENSG00000007376	42.08934255
ENSG00000007384	0.853812378
ENSG00000007392	14.10584175
ENSG00000007402	14.34234626
ENSG00000007516	0.142221025
ENSG00000007520	28.94371038
ENSG00000007541	11.67075858
ENSG00000007545	1.728657185
ENSG00000007866	8.103516753
ENSG00000007908	0
ENSG00000007923	13.6080442
ENSG00000007933	0.033889325
ENSG00000007944	4.230081684
ENSG00000007952	0
ENSG00000007968	4.715586065
ENSG00000008018	65.96710647
ENSG00000008056	15.03257569
ENSG00000008083	8.371333633
ENSG00000008086	2.149753591
ENSG00000008118	0.070039297
ENSG00000008128	0.091677789
ENSG00000008130	15.16973203
ENSG00000008196	24.40731228
ENSG00000008197	0.125587704
ENSG00000008226	0.013977619
ENSG00000008256	6.842627037
ENSG00000008277	5.87551558
ENSG00000008282	26.93345664
ENSG00000008283	88.91647402
ENSG00000008294	17.91132971
ENSG00000008300	6.803389707
ENSG00000008311	1.59148116
ENSG00000008323	0.095753254
ENSG00000008324	11.89696773
ENSG00000008382	12.05838096
ENSG00000008394	0.007831299
ENSG00000008405	5.861389833
ENSG00000008438	0
ENSG00000008441	19.63998789
ENSG00000008513	0.046080983
ENSG00000008516	0.054896557
ENSG00000008517	0
ENSG00000008710	7.369763491
ENSG00000008735	54.7117533
ENSG00000008838	19.02525642
ENSG00000008853	9.502523022
ENSG00000008869	9.917251525
ENSG00000008952	21.85226054
ENSG00000008988	126.0375107
ENSG00000009307	129.262916
ENSG00000009335	21.26020616
ENSG00000009413	8.896845229
ENSG00000009694	0
ENSG00000009709	0.009002425
ENSG00000009724	0.027377352
ENSG00000009765	0.005623692
ENSG00000009780	3.438002319
ENSG00000009790	0
ENSG00000009830	4.611508219
ENSG00000009844	8.65499655
ENSG00000009950	0.0968186
ENSG00000009954	36.61440141
ENSG00000010017	23.69240851
ENSG00000010030	0.196369654
ENSG00000010072	7.271753478
ENSG00000010165	17.90314846
ENSG00000010219	2.271759436
ENSG00000010244	11.97913487
ENSG00000010256	56.83588363
ENSG00000010270	17.54345848
ENSG00000010278	19.72737086
ENSG00000010282	0
ENSG00000010292	44.38451929
ENSG00000010295	11.5358208
ENSG00000010310	0.551802989
ENSG00000010318	1.316505589
ENSG00000010319	1.154600649
ENSG00000010322	6.346849452
ENSG00000010327	0.055036546
ENSG00000010361	13.61603772
ENSG00000010379	0.123604585
ENSG00000010404	6.733900816
ENSG00000010438	63.91085814
ENSG00000010539	4.686374359
ENSG00000010610	0.063937563
ENSG00000010626	1.508369229
ENSG00000010671	0.165583614
ENSG00000010704	0
ENSG00000010803	10.70582227
ENSG00000010810	19.6653636
ENSG00000010818	0.180478548
ENSG00000010932	0.032355744
ENSG00000011007	21.05642912
ENSG00000011009	37.02233552
ENSG00000011021	2.545375264
ENSG00000011028	4.915736351
ENSG00000011052	0
ENSG00000011083	0
ENSG00000011105	14.55762469
ENSG00000011114	7.980166088
ENSG00000011132	8.059875938
ENSG00000011143	5.463959107
ENSG00000011198	2.264743277
ENSG00000011201	0
ENSG00000011243	19.66517008
ENSG00000011258	6.53783296
ENSG00000011260	25.67620402
ENSG00000011275	12.09202394
ENSG00000011295	4.75499029
ENSG00000011304	78.62538374
ENSG00000011332	7.891094083
ENSG00000011347	5.061823062
ENSG00000011376	1.996122776
ENSG00000011405	8.502849747
ENSG00000011422	0.771390844
ENSG00000011426	28.47073465
ENSG00000011451	21.30724218
ENSG00000011454	10.64713645
ENSG00000011465	1.286383205
ENSG00000011478	13.24499117
ENSG00000011485	21.31486776
ENSG00000011523	4.588560796
ENSG00000011566	8.871767598
ENSG00000011590	0.021275172
ENSG00000011600	0
ENSG00000011638	3.963818956
ENSG00000011677	0.084249679
ENSG00000012048	6.073986022
ENSG00000012061	34.12129634
ENSG00000012124	0.047260904
ENSG00000012171	0.161644091
ENSG00000012174	10.66432659
ENSG00000012211	0.35065626
ENSG00000012223	0
ENSG00000012232	9.406890632
ENSG00000012504	0
ENSG00000012660	41.53820728
ENSG00000012779	0
ENSG00000012817	0
ENSG00000012822	2.141511709
ENSG00000012963	21.97058284
ENSG00000012983	10.44625998
ENSG00000013016	6.908182675
ENSG00000013275	69.47019298
ENSG00000013288	2.656510736
ENSG00000013293	18.39898156
ENSG00000013297	0.733873702
ENSG00000013306	96.08549273
ENSG00000013364	0.844531808
ENSG00000013374	11.32930602
ENSG00000013375	9.686140625
ENSG00000013392	2.61291733
ENSG00000013441	15.79111129
ENSG00000013503	10.65725458
ENSG00000013523	7.817292072
ENSG00000013561	16.48411634
ENSG00000013563	9.448863866
ENSG00000013573	3.30817856
ENSG00000013583	3.365809091
ENSG00000013588	0.027617391
ENSG00000013619	0
ENSG00000013725	0.283636816
ENSG00000013810	10.11708331
ENSG00000014123	8.999594411
ENSG00000014138	0.805854436
ENSG00000014164	7.078542874
ENSG00000014216	16.87308135
ENSG00000014257	0.027230231
ENSG00000014641	22.18800001
ENSG00000014824	14.52972456
ENSG00000014914	0.675514616
ENSG00000014919	10.17016866
ENSG00000015133	1.397494209
ENSG00000015153	3.532167217
ENSG00000015171	10.39013143
ENSG00000015285	0.345539063
ENSG00000015413	0.085162871
ENSG00000015475	17.41889594
ENSG00000015479	1.004701634
ENSG00000015520	0.099858007
ENSG00000015532	9.062511558
ENSG00000015568	0
ENSG00000015592	3.361205831
ENSG00000015676	11.52141827
ENSG00000016082	29.25012084
ENSG00000016391	0
ENSG00000016402	0.135517895
ENSG00000016490	0
ENSG00000016602	0
ENSG00000016864	8.934222301
ENSG00000017260	26.78372306
ENSG00000017427	0
ENSG00000017483	0.029005821
ENSG00000017797	5.667111965
ENSG00000018189	12.86274475
ENSG00000018236	39.14661943
ENSG00000018280	0.134330786
ENSG00000018408	0.748062645
ENSG00000018510	8.171346238
ENSG00000018607	0.09854458
ENSG00000018610	11.08988106
ENSG00000018625	0.009252571
ENSG00000018699	9.359512113
ENSG00000018869	3.165859835
ENSG00000019102	0
ENSG00000019144	2.399069266
ENSG00000019169	0
ENSG00000019186	0.01461201
ENSG00000019485	0.986539165
ENSG00000019505	0.064212336
ENSG00000019549	4.901939578
ENSG00000019582	0.195055045
ENSG00000019991	5.897175201
ENSG00000019995	6.981444159
ENSG00000020129	18.09688935
ENSG00000020181	5.100094686
ENSG00000020219	0
ENSG00000020256	8.642209666
ENSG00000020426	9.935066093
ENSG00000020577	0.368545382
ENSG00000020633	0.012883638
ENSG00000020922	6.35095828
ENSG00000021300	1.701047648
ENSG00000021355	0
ENSG00000021461	0
ENSG00000021488	0.1570088
ENSG00000021574	4.924626049
ENSG00000021645	0.007503083
ENSG00000021762	0.655012225
ENSG00000021776	13.69718542
ENSG00000021826	0.206265665
ENSG00000021852	0
ENSG00000022267	38.43095155
ENSG00000022277	15.47532308
ENSG00000022355	2.892872496
ENSG00000022556	0
ENSG00000022567	2.057957622
ENSG00000022840	39.43777461
ENSG00000022976	3.565163079
ENSG00000023041	13.21552576
ENSG00000023171	14.01055891
ENSG00000023191	12.54119428
ENSG00000023228	23.56468509
ENSG00000023287	16.34207321
ENSG00000023318	18.3011167
ENSG00000023330	24.15007973
ENSG00000023445	0.317794691
ENSG00000023516	15.59815753
ENSG00000023572	4.607390198
ENSG00000023608	4.809238982
ENSG00000023697	14.77014979
ENSG00000023734	88.73760698
ENSG00000023839	0.074355869
ENSG00000023892	1.897986181
ENSG00000023902	6.663252773
ENSG00000023909	5.691951387
ENSG00000024048	8.154222107
ENSG00000024422	35.32137846
ENSG00000024526	8.350050775
ENSG00000024862	4.717497519
ENSG00000025039	7.777317457
ENSG00000025156	19.98600024
ENSG00000025293	8.463879221
ENSG00000025423	1.487595201
ENSG00000025434	1.233828561
ENSG00000025708	0.242802895
ENSG00000025770	18.42666509
ENSG00000025772	55.93942417
ENSG00000025796	12.72302968
ENSG00000025800	20.30987444
ENSG00000026025	106.0864766
ENSG00000026036	0.320426123
ENSG00000026103	0.292512631
ENSG00000026297	0.533702556
ENSG00000026508	3.675536825
ENSG00000026559	7.79121533
ENSG00000026652	6.251241865
ENSG00000026751	0
ENSG00000026950	3.366539506
ENSG00000027001	5.572713431
ENSG00000027075	0.547750132
ENSG00000027644	0.392220061
ENSG00000027697	11.23843244
ENSG00000027847	5.244303609
ENSG00000027869	0.139186373
ENSG00000028116	0.511598283
ENSG00000028137	0.632392929
ENSG00000028203	17.72909844
ENSG00000028277	0.443211633
ENSG00000028310	3.569957738
ENSG00000028528	12.01885491
ENSG00000028839	10.97455593
ENSG00000029153	0.46731647
ENSG00000029363	30.42307792
ENSG00000029364	40.93293521
ENSG00000029534	1.3007057
ENSG00000029559	0
ENSG00000029639	4.493418692
ENSG00000029725	8.857713768
ENSG00000029993	14.47139993
ENSG00000030066	6.692934275
ENSG00000030110	39.01530784
ENSG00000030304	0.019051666
ENSG00000030419	0.171390279
ENSG00000030582	78.165445
ENSG00000031003	8.31977957
ENSG00000031081	3.922559249
ENSG00000031691	6.292513852
ENSG00000031698	79.33201366
ENSG00000031823	13.65827433
ENSG00000032219	6.07838419
ENSG00000032389	7.658697027
ENSG00000032444	12.91066815
ENSG00000032742	3.976389088
ENSG00000033011	14.07862162
ENSG00000033030	4.993890116
ENSG00000033050	6.428298434
ENSG00000033100	17.97376578
ENSG00000033122	0.204894187
ENSG00000033170	9.539480709
ENSG00000033178	8.729666493
ENSG00000033327	19.06011684
ENSG00000033627	12.21306318
ENSG00000033800	10.52326132
ENSG00000033867	3.423884416
ENSG00000034053	15.11747592
ENSG00000034152	8.104149603
ENSG00000034239	0.10009051
ENSG00000034510	374.7907592
ENSG00000034533	4.795126911
ENSG00000034677	6.442657812
ENSG00000034693	4.962445031
ENSG00000034713	30.66576362
ENSG00000034971	0.027696148
ENSG00000035115	0.963185037
ENSG00000035141	9.611406882
ENSG00000035403	18.31227598
ENSG00000035499	8.114694752
ENSG00000035664	0.209768002
ENSG00000035681	8.462290845
ENSG00000035687	16.10500806
ENSG00000035720	0
ENSG00000035862	34.81051267
ENSG00000035928	12.65364811
ENSG00000036054	13.53241482
ENSG00000036257	11.64440898
ENSG00000036448	0.330344075
ENSG00000036473	0
ENSG00000036530	0.112086825
ENSG00000036549	5.285167809
ENSG00000036565	12.07183702
ENSG00000036672	2.40924031
ENSG00000036828	0
ENSG00000037042	11.41251845
ENSG00000037241	15.96992236
ENSG00000037280	1.217854556
ENSG00000037474	15.84348421
ENSG00000037637	5.388073564
ENSG00000037749	5.943142058
ENSG00000037757	15.66940321
ENSG00000037897	11.01404811
ENSG00000037965	21.09582454
ENSG00000038002	7.091149421
ENSG00000038210	11.10106695
ENSG00000038219	2.307102025
ENSG00000038274	9.759399708
ENSG00000038295	0
ENSG00000038358	12.20499763
ENSG00000038382	11.26627184
ENSG00000038427	0.357306345
ENSG00000038532	6.970573885
ENSG00000038945	0.007459382
ENSG00000039068	0.028644615
ENSG00000039123	22.91612512
ENSG00000039139	0.049518527
ENSG00000039319	10.02185015
ENSG00000039523	16.41923455
ENSG00000039537	0.024592823
ENSG00000039560	0.146046854
ENSG00000039600	0
ENSG00000039650	13.79569187
ENSG00000039987	0.13213763
ENSG00000040199	3.311743639
ENSG00000040275	9.543297866
ENSG00000040341	6.383733407
ENSG00000040487	6.508491597
ENSG00000040531	3.3023487
ENSG00000040608	6.226193235
ENSG00000040633	21.49245383
ENSG00000040731	6.002405991
ENSG00000040933	2.505544698
ENSG00000041353	3.535134125
ENSG00000041357	26.07024048
ENSG00000041515	0
ENSG00000041802	14.61368975
ENSG00000041880	2.925575864
ENSG00000041982	0
ENSG00000041988	4.107137377
ENSG00000042062	0.087075254
ENSG00000042088	5.393712387
ENSG00000042286	4.879699854
ENSG00000042304	0
ENSG00000042317	2.815269887
ENSG00000042429	0.950746555
ENSG00000042445	11.12491802
ENSG00000042493	0.216806223
ENSG00000042753	76.32902272
ENSG00000042781	0.064957688
ENSG00000042813	0
ENSG00000042832	0.010469403
ENSG00000042980	0.006253777
ENSG00000043039	0
ENSG00000043093	16.16932243
ENSG00000043143	2.454332391
ENSG00000043355	0.017712065
ENSG00000043462	0
ENSG00000043514	3.639256003
ENSG00000043591	0.019174957
ENSG00000044012	0
ENSG00000044090	6.170162403
ENSG00000044115	16.84166671
ENSG00000044446	2.065827368
ENSG00000044459	2.485964563
ENSG00000044524	0
ENSG00000044574	157.6528299
ENSG00000046604	0.009622308
ENSG00000046647	4.038701618
ENSG00000046651	4.728464413
ENSG00000046653	22.19960298
ENSG00000046774	0.116896078
ENSG00000046889	0.004803222
ENSG00000047056	4.235660086
ENSG00000047188	6.078049699
ENSG00000047230	7.954417745
ENSG00000047249	9.601750842
ENSG00000047315	31.1097649
ENSG00000047346	7.284086846
ENSG00000047365	0
ENSG00000047410	19.23706693
ENSG00000047457	0.024719752
ENSG00000047578	2.060747382
ENSG00000047579	2.692152674
ENSG00000047597	0.506817021
ENSG00000047617	0
ENSG00000047621	14.20190168
ENSG00000047634	3.031833855
ENSG00000047644	0.05733889
ENSG00000047648	0.006552648
ENSG00000047662	0.017314721
ENSG00000047849	18.30502772
ENSG00000047932	10.18638938
ENSG00000047936	0.022252811
ENSG00000048028	9.221330436
ENSG00000048052	3.324525285
ENSG00000048140	11.53162435
ENSG00000048162	9.813919943
ENSG00000048342	4.402771622
ENSG00000048392	4.464222396
ENSG00000048405	11.69879924
ENSG00000048462	0
ENSG00000048471	3.429625809
ENSG00000048540	0.221391962
ENSG00000048544	36.76729551
ENSG00000048545	0
ENSG00000048649	9.944120594
ENSG00000048707	2.182981343
ENSG00000048740	0.010616268
ENSG00000048828	39.24520431
ENSG00000048991	11.68700285
ENSG00000049089	1.161306373
ENSG00000049130	0.169042467
ENSG00000049167	6.032635802
ENSG00000049192	0.102053756
ENSG00000049239	3.457225642
ENSG00000049245	43.39002336
ENSG00000049246	1.144012652
ENSG00000049247	0
ENSG00000049249	0.018408686
ENSG00000049283	0.025881721
ENSG00000049323	0.071373742
ENSG00000049449	2.330907791
ENSG00000049540	0.944192242
ENSG00000049541	31.57425976
ENSG00000049618	2.649055287
ENSG00000049656	19.53100703
ENSG00000049759	1.652538912
ENSG00000049768	0.018882921
ENSG00000049769	3.487310651
ENSG00000049860	9.667573688
ENSG00000049883	1.880695308
ENSG00000050030	0.098193099
ENSG00000050130	17.54878854
ENSG00000050165	2.987218757
ENSG00000050327	0.010015932
ENSG00000050344	0.216677461
ENSG00000050393	9.072337983
ENSG00000050405	23.20945069
ENSG00000050426	12.62639457
ENSG00000050438	7.527973682
ENSG00000050555	0.295169608
ENSG00000050628	1.756692653
ENSG00000050730	0
ENSG00000050748	8.420420662
ENSG00000050767	0.242533413
ENSG00000050820	12.30194295
ENSG00000051009	3.531305616
ENSG00000051108	22.34438968
ENSG00000051128	0.851442063
ENSG00000051180	5.989767912
ENSG00000051341	2.652146735
ENSG00000051382	5.900844235
ENSG00000051523	39.24853189
ENSG00000051596	8.809251859
ENSG00000051620	4.300650966
ENSG00000051825	14.19492079
ENSG00000052126	4.570680391
ENSG00000052344	0.430924129
ENSG00000052723	17.39085003
ENSG00000052749	5.725468193
ENSG00000052795	3.555478144
ENSG00000052802	44.23575883
ENSG00000052841	5.174177837
ENSG00000052850	0
ENSG00000053108	0.182346385
ENSG00000053254	8.492929682
ENSG00000053328	0.065696386
ENSG00000053371	31.21400944
ENSG00000053372	21.72686937
ENSG00000053438	0
ENSG00000053501	4.961928349
ENSG00000053524	0.334314371
ENSG00000053702	0.455578992
ENSG00000053747	0.055580987
ENSG00000053770	6.320074123
ENSG00000053900	2.231687136
ENSG00000053918	0.013183868
ENSG00000054116	12.78794039
ENSG00000054118	37.69206295
ENSG00000054148	63.04440426
ENSG00000054179	0.154510933
ENSG00000054219	0
ENSG00000054267	6.541403377
ENSG00000054277	0.516379948
ENSG00000054282	4.062989994
ENSG00000054356	44.46232107
ENSG00000054392	1.297871908
ENSG00000054523	8.458090911
ENSG00000054598	10.46070217
ENSG00000054611	6.479616671
ENSG00000054654	4.303363906
ENSG00000054690	0.947173465
ENSG00000054793	0.483620779
ENSG00000054796	0
ENSG00000054803	0
ENSG00000054938	0
ENSG00000054965	27.31509478
ENSG00000054967	5.726490774
ENSG00000054983	6.756379842
ENSG00000055044	33.79958685
ENSG00000055070	32.859803
ENSG00000055118	72.06540495
ENSG00000055130	24.46274253
ENSG00000055147	5.181383254
ENSG00000055163	4.412916016
ENSG00000055208	18.64686872
ENSG00000055211	18.20697974
ENSG00000055332	16.64779302
ENSG00000055483	6.795851897
ENSG00000055609	13.50637879
ENSG00000055732	0
ENSG00000055813	0.014164486
ENSG00000055917	31.46625306
ENSG00000055950	19.60363255
ENSG00000055955	0
ENSG00000055957	0
ENSG00000056050	15.94098331
ENSG00000056097	35.0961526
ENSG00000056277	10.20211905
ENSG00000056291	0
ENSG00000056487	7.983756916
ENSG00000056558	0.546794723
ENSG00000056586	17.28072908
ENSG00000056736	0.019143461
ENSG00000056972	1.414062343
ENSG00000056998	0.048278952
ENSG00000057019	12.4552719
ENSG00000057149	0
ENSG00000057252	7.34543747
ENSG00000057294	0.835658409
ENSG00000057468	0.053461188
ENSG00000057593	0.030710248
ENSG00000057608	114.1954442
ENSG00000057657	0.207191804
ENSG00000057663	8.171573289
ENSG00000057704	0.00894851
ENSG00000057757	11.53118212
ENSG00000057935	8.052427198
ENSG00000058056	9.725216135
ENSG00000058063	7.68765713
ENSG00000058085	0.077467393
ENSG00000058091	0
ENSG00000058262	82.6743857
ENSG00000058272	10.79596958
ENSG00000058335	0.023475756
ENSG00000058404	0.214264106
ENSG00000058453	0.84700593
