gene_id	FPKM
ENSG00000000003	2.551175174
ENSG00000000005	0
ENSG00000000419	11.53183621
ENSG00000000457	3.162654851
ENSG00000000460	2.548360158
ENSG00000000938	0
ENSG00000000971	0.121690211
ENSG00000001036	5.391109193
ENSG00000001084	7.709282419
ENSG00000001167	30.343842
ENSG00000001460	0.979340968
ENSG00000001461	3.927345625
ENSG00000001497	7.920097083
ENSG00000001561	2.33501608
ENSG00000001617	12.96192382
ENSG00000001626	0
ENSG00000001629	24.51047366
ENSG00000001630	0.665003036
ENSG00000001631	1.356559473
ENSG00000002016	5.732789884
ENSG00000002079	0.025661643
ENSG00000002330	4.501041605
ENSG00000002549	7.953427827
ENSG00000002586	0.033315764
ENSG00000002587	0
ENSG00000002726	0
ENSG00000002745	0.024792889
ENSG00000002746	0
ENSG00000002822	0.201470515
ENSG00000002834	30.13017562
ENSG00000002919	7.674987416
ENSG00000002933	0
ENSG00000003056	23.63386824
ENSG00000003096	38.45135317
ENSG00000003137	0.032272778
ENSG00000003147	13.78840053
ENSG00000003249	9.659225204
ENSG00000003393	16.79261952
ENSG00000003400	0.288213657
ENSG00000003402	1.565992068
ENSG00000003436	0.006908314
ENSG00000003509	4.233492773
ENSG00000003756	5.555369023
ENSG00000003987	1.518492886
ENSG00000003989	50.80654813
ENSG00000004059	27.93540481
ENSG00000004139	9.524327338
ENSG00000004142	21.45849626
ENSG00000004399	42.11570979
ENSG00000004455	7.096088069
ENSG00000004468	0.023603322
ENSG00000004478	44.13750846
ENSG00000004487	37.12983076
ENSG00000004534	5.743064376
ENSG00000004660	2.797990779
ENSG00000004700	13.21251704
ENSG00000004766	4.342923625
ENSG00000004776	0
ENSG00000004777	5.153904314
ENSG00000004779	12.65090802
ENSG00000004799	0.017808977
ENSG00000004809	0.020712565
ENSG00000004838	0.532210388
ENSG00000004846	0
ENSG00000004848	0
ENSG00000004864	23.97182349
ENSG00000004866	5.341319431
ENSG00000004897	21.00181514
ENSG00000004939	0.110530328
ENSG00000004948	0
ENSG00000004961	6.147874623
ENSG00000004975	9.490052591
ENSG00000005001	0
ENSG00000005007	35.56891659
ENSG00000005020	0.452848294
ENSG00000005022	71.60862405
ENSG00000005059	0.113817145
ENSG00000005073	0
ENSG00000005075	4.00140763
ENSG00000005100	13.5455772
ENSG00000005102	0.090789817
ENSG00000005108	14.05666233
ENSG00000005156	23.08350389
ENSG00000005175	7.351226018
ENSG00000005187	0.032326494
ENSG00000005189	1.986709529
ENSG00000005194	23.70549045
ENSG00000005206	8.595242514
ENSG00000005238	2.651589628
ENSG00000005243	2.255116552
ENSG00000005249	27.24681507
ENSG00000005302	1.398379788
ENSG00000005339	22.02550361
ENSG00000005379	4.519067321
ENSG00000005381	0
ENSG00000005421	0
ENSG00000005436	1.689003089
ENSG00000005448	5.27765153
ENSG00000005469	3.234359115
ENSG00000005471	0.146620404
ENSG00000005483	26.10162673
ENSG00000005486	20.48494311
ENSG00000005513	0.144830407
ENSG00000005700	19.65787488
